35.854, -60.394, 66.811
34.525, -58.899, 62.894
33.196, -57.404, 58.717
31.868, -55.909, 54.219
30.539, -54.414, 49.312
29.21, -52.92, 43.859
27.882, -51.425, 37.625
26.626, -49.869, 30.13
25.45, -48.252, 20
26.419, -48.367, 92.727
28.022, -49.563, 92.303
29.617, -50.769, 89.509
31.222, -51.963, 86.625
32.842, -53.135, 83.641
34.483, -54.278, 80.547
36.147, -55.388, 77.329
37.836, -56.458, 73.972
39.553, -57.484, 70.455
41.301, -58.456, 66.753
43.084, -59.363, 62.833
44.903, -60.191, 58.652
46.761, -60.931, 54.149
48.651, -61.587, 49.235
50.566, -62.161, 43.774
52.518, -62.595, 37.529
54.508, -62.731, 30.027
56.391, -62.136, 20
57.809, -60.733, 55.814
59.274, -59.38, 51.074
61.058, -58.492, 63.526
62.998, -58.015, 59.398
62.512, -57.667, 93.658
60.512, -57.673, 97.989
58.512, -57.713, 99.22
56.513, -57.766, 99.7
54.514, -57.824, 99.833
52.515, -57.886, 99.929
50.516, -57.948, 99.941
48.517, -58.011, 99.895
46.518, -58.072, 99.857
44.519, -58.133, 99.823
42.52, -58.191, 99.792
40.52, -58.247, 99.763
38.521, -58.301, 99.735
36.522, -58.351, 99.708
34.522, -58.398, 99.708
32.523, -58.441, 99.679
30.523, -58.48, 99.649
28.523, -58.515, 99.617
26.524, -58.545, 99.583
24.524, -58.571, 97.652
22.524, -58.591, 95.015
20.524, -58.605, 92.303
18.524, -58.612, 89.509
16.524, -58.612, 86.625
14.524, -58.605, 83.642
12.524, -58.591, 80.548
10.524, -58.567, 77.33
8.525, -58.535, 73.972
6.525, -58.491, 70.455
4.526, -58.436, 66.753
2.527, -58.367, 62.833
0.529, -58.275, 58.651
-1.466, -58.142, 54.148
-3.456, -57.942, 49.235
-5.434, -57.651, 43.774
-7.38, -57.194, 37.529
-9.239, -56.467, 30.025
-10.713, -55.153, 20
-10.911, -53.213, 32.006
-10.127, -51.383, 74.283
-9.015, -49.722, 70.784
-7.778, -48.15, 67.1
-6.499, -46.613, 63.201
-5.216, -45.079, 59.046
-3.959, -43.523, 54.575
-2.759, -41.923, 49.704
-1.648, -40.261, 44.301
-0.671, -38.517, 38.143
0.107, -36.677, 30.78
0.598, -34.742, 20.984
0.723, -33.012, 0
0.723, -33.012, 0
2.171, -13.065, 0
endData
127
100
200
35.854, -60.394, 31.721, -55.744, 31.721, -55.744, 27.588, -51.094
27.588, -51.094, 19.58, -41.02, 33.271, -56.002, 46.703, -60.91
46.703, -60.91, 60.135, -65.818, 54.711, -59.49, 62.719, -58.069
62.719, -58.069, 70.726, -56.648, 29.396, -59.49, 1.498, -58.327
1.498, -58.327, -26.4, -57.165, 1.111, -45.67, 0.723, -33.012
